epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,320.371,1.06931,1.70465,0.74126,0.95634,0,0.86186,0.94745,0.88411,0.5258,0.87992,0.96274,0.8979,0.58905,1.14679,1.57678,0.87978,1.02532,0,0.0017294,0.0017294,0.0017294
43,326.93,1.04754,1.65236,0.73924,0.94282,0,0.87097,0.90605,0.88676,0.54975,0.88719,0.92293,0.90521,0.57667,1.06051,1.58116,0.93624,0.98044,0,0.0017228,0.0017228,0.0017228
44,333.506,1.02457,1.66663,0.72149,0.94231,0,0.84189,0.94286,0.87454,0.54506,0.86116,0.9551,0.89334,0.5705,1.0544,1.6101,0.90876,0.98316,0,0.0017162,0.0017162,0.0017162
45,340.28,1.03723,1.65098,0.71911,0.94658,0,0.85524,0.94745,0.88069,0.56901,0.86846,0.9621,0.89654,0.59634,1.04449,1.55629,0.88993,0.99085,0,0.0017096,0.0017096,0.0017096
46,346.989,1.03188,1.64307,0.69294,0.93963,0,0.87334,0.9379,0.87852,0.53865,0.8845,0.94875,0.89144,0.57693,1.08136,1.61015,0.89278,0.99111,0,0.001703,0.001703,0.001703
47,353.542,1.01586,1.63487,0.72529,0.94225,0,0.87722,0.95382,0.89439,0.56619,0.88108,0.95802,0.89699,0.58534,1.03716,1.56503,0.8675,0.97543,0,0.0016964,0.0016964,0.0016964
48,360.961,1.03012,1.6383,0.72804,0.94557,0,0.8796,0.95446,0.89483,0.56748,0.88547,0.96083,0.90104,0.60083,1.10143,1.55621,0.8208,1.00986,0,0.0016898,0.0016898,0.0016898
49,367.536,1.02237,1.66261,0.70017,0.94095,0,0.86759,0.94945,0.8803,0.56215,0.87748,0.96028,0.89093,0.59092,1.0587,1.5349,0.83868,0.99191,0,0.0016832,0.0016832,0.0016832
50,374.256,1.02979,1.65653,0.69691,0.94102,0,0.8706,0.94703,0.88122,0.56767,0.88201,0.95945,0.89245,0.58805,1.07066,1.53921,0.8596,0.98712,0,0.0016766,0.0016766,0.0016766
51,380.889,1.03208,1.6314,0.71046,0.93967,0,0.87521,0.96042,0.88996,0.57144,0.88478,0.97093,0.89837,0.58149,1.06769,1.58771,0.8269,0.98275,0,0.00167,0.00167,0.00167
52,387.586,1.04028,1.63882,0.68498,0.93795,0,0.88222,0.93987,0.89488,0.5713,0.88974,0.94554,0.9025,0.59366,1.03306,1.55656,0.87104,0.97218,0,0.0016634,0.0016634,0.0016634
53,394.688,1.01571,1.63012,0.68414,0.93079,0,0.87522,0.93312,0.88769,0.56548,0.88269,0.94108,0.89708,0.58726,1.06686,1.5495,0.8664,0.98178,0,0.0016568,0.0016568,0.0016568
54,401.534,1.03242,1.63625,0.70253,0.94181,0,0.86811,0.93909,0.88829,0.58639,0.87311,0.9445,0.89402,0.59063,1.0224,1.54439,0.82585,0.97903,0,0.0016502,0.0016502,0.0016502
55,408.666,1.01541,1.62264,0.68302,0.93275,0,0.87064,0.94713,0.89425,0.58062,0.87767,0.95478,0.90119,0.58698,1.05569,1.56893,0.81717,0.9815,0,0.0016436,0.0016436,0.0016436
56,415.473,1.0154,1.627,0.66949,0.93422,0,0.88033,0.94013,0.89218,0.5606,0.89435,0.9551,0.91038,0.59388,1.07513,1.54098,0.85316,0.98782,0,0.001637,0.001637,0.001637
