epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,872.085,0.96959,1.53,0.63563,0.93668,0,0.89086,0.94879,0.90423,0.61951,0.90004,0.96059,0.91162,0.60315,0.99855,1.55064,0.76015,0.98894,0,0.0015578,0.0015578,0.0015578
69,881.005,0.96274,1.53205,0.62776,0.93818,0,0.87934,0.93766,0.89715,0.59112,0.89014,0.95032,0.90457,0.62217,1.00627,1.46736,0.81454,0.99037,0,0.0015512,0.0015512,0.0015512
70,890.238,0.94485,1.5027,0.64779,0.94087,0,0.88269,0.94841,0.89521,0.60481,0.8947,0.95987,0.90577,0.6143,0.97658,1.41973,0.78392,0.97971,0,0.0015446,0.0015446,0.0015446
71,900.142,0.96066,1.49317,0.64188,0.93496,0,0.88346,0.94641,0.91631,0.63613,0.88863,0.95478,0.92089,0.64441,0.94036,1.43368,0.76667,0.96915,0,0.001538,0.001538,0.001538
72,911.366,0.93874,1.50117,0.63805,0.93853,0,0.87273,0.95987,0.88341,0.60636,0.88026,0.96815,0.89163,0.59614,0.96612,1.491,0.75331,0.98211,0,0.0015314,0.0015314,0.0015314
73,920.235,0.95489,1.4919,0.63017,0.9395,0,0.89184,0.95892,0.91421,0.63887,0.89761,0.96656,0.91771,0.63382,0.92363,1.43356,0.77072,0.9668,0,0.0015248,0.0015248,0.0015248
74,929.768,0.95399,1.48721,0.64009,0.92415,0,0.87976,0.93854,0.9002,0.60303,0.88842,0.94777,0.9073,0.62556,0.98955,1.45027,0.78567,0.98421,0,0.0015182,0.0015182,0.0015182
75,938.66,0.94714,1.49324,0.62728,0.9377,0,0.87215,0.92767,0.88555,0.58795,0.88807,0.94427,0.90171,0.60732,0.97922,1.45538,0.79657,0.98016,0,0.0015116,0.0015116,0.0015116
76,950.968,0.97424,1.4923,0.63933,0.94259,0,0.88157,0.94592,0.89032,0.60573,0.89048,0.95547,0.89783,0.60772,0.97529,1.52012,0.80632,0.97396,0,0.001505,0.001505,0.001505
77,960.036,0.95582,1.4777,0.63347,0.92961,0,0.8879,0.94618,0.89845,0.62184,0.89687,0.95573,0.90385,0.61163,0.93465,1.46059,0.76143,0.96685,0,0.0014984,0.0014984,0.0014984
